type,feature,freq
funcname,_Unwind_Complete,177669
funcname,_Unwind_DeleteException,177663
funcname,_Unwind_GetLanguageSpecificData,177662
funcname,_Unwind_GetRegionStart,177653
funcname,_Unwind_RaiseException,175810
funcname,_Unwind_Resume,175806
funcname,_Unwind_VRS_Get,175374
funcname,_Unwind_VRS_Set,175337
funcname,_Unwind_GetTextRelBase,175175
funcname,_Unwind_Resume_or_Rethrow,175169
funcname,_Unwind_GetDataRelBase,175166
funcname,__aeabi_unwind_cpp_pr0,173480
funcname,__aeabi_unwind_cpp_pr1,173477
funcname,_Unwind_VRS_Pop,173465
funcname,__aeabi_unwind_cpp_pr2,173416
funcname,_Unwind_Backtrace,173325
funcname,_Unwind_GetCFA,173307
funcname,__gnu_unwind_frame,173247
funcname,__restore_core_regs,173242
funcname,__gnu_Unwind_Resume_or_Rethrow,173241
funcname,__gnu_Unwind_Resume,173238
funcname,___Unwind_Resume_or_Rethrow,173238
funcname,restore_core_regs,173237
funcname,__gnu_Unwind_Save_VFP,173236
funcname,__gnu_Unwind_ForcedUnwind,173236
funcname,__gnu_Unwind_RaiseException,173235
funcname,___Unwind_ForcedUnwind,173233
funcname,__gnu_Unwind_Backtrace,173232
funcname,__gnu_unwind_execute,173231
funcname,__gnu_Unwind_Restore_VFP,173230
funcname,__gnu_Unwind_Restore_VFP_D,173228
funcname,___Unwind_RaiseException,173227
funcname,___Unwind_Resume,173226
funcname,__gnu_Unwind_Restore_WMMXC,173225
funcname,_Unwind_ForcedUnwind,173224
funcname,__gnu_Unwind_Restore_WMMXD,173223
funcname,___Unwind_Backtrace,173220
funcname,__gnu_Unwind_Save_VFP_D_16_to_31,173220
funcname,__gnu_Unwind_Restore_VFP_D_16_to_31,173220
funcname,__gnu_Unwind_Save_VFP_D,173218
funcname,__gnu_Unwind_Save_WMMXD,173216
funcname,__gnu_Unwind_Save_WMMXC,173216
funcname,__divsi3,139187
funcname,__aeabi_idiv,139118
funcname,__aeabi_idivmod,138955
funcname,__udivsi3,137468
funcname,__aeabi_uidiv,137394
funcname,__aeabi_uidivmod,137233
funcname,__aeabi_idiv0,126964
funcname,__aeabi_ldiv0,126963
funcname,__floatundidf,122278
funcname,__subdf3,122276
funcname,__adddf3,122274
funcname,__floatdidf,122273
funcname,__floatsidf,122270
funcname,__extendsfdf2,122268
funcname,__floatunsidf,122264
funcname,__aeabi_l2d,122223
funcname,__aeabi_ul2d,122184
funcname,__aeabi_ui2d,122165
funcname,__aeabi_dsub,122160
funcname,__aeabi_f2d,122160
funcname,__aeabi_i2d,122158
funcname,__aeabi_dadd,122156
funcname,__aeabi_drsub,122129
funcname,__muldf3,115251
funcname,__divdf3,115227
funcname,__aeabi_dmul,115156
funcname,__aeabi_ddiv,115139
funcname,JNI_OnLoad,112056
funcname,__divdi3,110818
funcname,__udivdi3,110816
funcname,__gnu_ldivmod_helper,110804
funcname,__gnu_uldivmod_helper,110803
funcname,__gedf2,109805
funcname,__gtdf2,109797
funcname,__eqdf2,109797
funcname,__ledf2,109796
funcname,__nedf2,109795
funcname,__cmpdf2,109794
funcname,__ltdf2,109788
funcname,__aeabi_dcmpgt,109693
funcname,__aeabi_dcmpge,109691
funcname,__aeabi_cdrcmple,109691
funcname,__aeabi_dcmpeq,109688
funcname,__aeabi_cdcmple,109685
funcname,__aeabi_dcmplt,109685
funcname,__aeabi_dcmple,109684
funcname,__aeabi_cdcmpeq,109679
funcname,__floatdisf,104345
funcname,__floatundisf,104338
funcname,__floatsisf,104329
funcname,__subsf3,104328
