group_id,artifact_id,version_number
axion,axion,1.0-M1
aopalliance,aopalliance,1.0
backport-util-concurrent,backport-util-concurrent,1.0
antlr,antlr,2.7.1
args4j,args4j,1.0
ant,ant,1.4.1
asm,asm,1.3.3
backport-util-concurrent,backport-util-concurrent,1.1_01
axion,axion,1.0-M2-dev
antlr,antlr,2.7.2
ant,ant,1.5
asm,asm,1.3.4
axion,axion,1.0-M3-dev
backport-util-concurrent,backport-util-concurrent,2.0_01_pd
asia.ivity.android,drag-sort-listview,1.0
ant,ant,1.5.1
bcel,bcel,5.0
asm,asm,1.3.5
backport-util-concurrent,backport-util-concurrent,2.1
antlr,antlr,2.7.5
ant,ant,1.5.2
bcel,bcel,5.1
asm,asm,1.4
backport-util-concurrent,backport-util-concurrent,2.2
bsf,bsf,2.2
antlr,antlr,2.7.6
asm,asm,1.4.1
bsf,bsf,2.3.0
backport-util-concurrent,backport-util-concurrent,3.0
antlr,antlr,2.7.6rc1
asm,asm,1.4.2
bsf,bsf,2.3.0-rc1
ant,ant,1.5.3-1
antlr,antlr,2.7.7
backport-util-concurrent,backport-util-concurrent,3.1
biz.aQute,bnd,0.0.160
asm,asm,1.4.3
bsf,bsf,2.4.0
ant,ant,1.5.4
biz.aQute,bnd,0.0.169
antlr,antlr,20030911
backport-util-concurrent,backport-util-concurrent-java12,3.1
asm,asm,1.5.1
ant,ant,1.6
biz.aQute,bnd,0.0.384
asm,asm,1.5.2
cewolf,cewolf,0.10.3
ant,ant,1.6.1
biz.aQute,bnd,1.50.0
cewolf,cewolf,0.12.0
asm,asm,1.5.3
ant,ant,1.6.2
cglib,cglib,1.0
cewolf,cewolf,1.0
ant,ant,1.6.3
cglib,cglib,2.0-rc2
asm,asm,2.1
ant,ant,1.6.4
cglib,cglib,2.0.1
asm,asm,2.2
cglib,cglib,2.0.2
ant,ant,1.6.5
asm,asm,2.2.1
asm,asm,2.2.2
cglib,cglib,2.1
cglib,cglib,2.1_2
asm,asm,3.0
cglib,cglib,2.1_3
cglib,cglib,2.2
cglib,cglib,2.2.2
cat.ereza,customactivityoncrash,1.0.1
cc.catalysts.boot,cat-boot-api,0.0.10
cglib,cglib,2.2_beta1
cat.ereza,customactivityoncrash,1.1.0
cat.ereza,customactivityoncrash,1.2.0
cc.catalysts.boot,cat-boot-cluster,0.0.10
colt,colt,1.0.3
cglib,cglib,3.0
colt,colt,1.2.0
cglib,cglib,3.1
cat.ereza,customactivityoncrash,1.3.0
commons-beanutils,commons-beanutils,1.0
cc.catalysts.boot,cat-boot-i18n,0.0.10
cat.ereza,customactivityoncrash,1.4.0
commons-beanutils,commons-beanutils,1.2
cat.ereza,customactivityoncrash,1.5.0
aspectwerkz,aspectwerkz-core,0.10
commons-beanutils,commons-beanutils,1.3
aspectwerkz,aspectwerkz-core,0.10.RC1
commons-cli,commons-cli,1.0
cc.catalysts.boot,cat-boot-i18n,0.0.5
commons-beanutils,commons-beanutils,1.4
commons-collections,commons-collections,1.0
commons-codec,commons-codec,1.1
aspectwerkz,aspectwerkz-core,0.10.RC2
commons-cli,commons-cli,1.0-beta-1
cat.inspiracio,html-parser,0.0.1
commons-collections,commons-collections,2.0
commons-codec,commons-codec,1.10
aspectwerkz,aspectwerkz-core,0.8
commons-cli,commons-cli,1.0-beta-2
commons-beanutils,commons-beanutils,1.4.1
cat.inspiracio,html-parser,0.0.2
cc.catalysts.boot,cat-boot-i18n-angular,0.0.10
commons-collections,commons-collections,2.0.20020914.015953
cglib,cglib,rc2-1.0
commons-codec,commons-codec,1.2
aspectwerkz,aspectwerkz-core,0.8.1
cc.catalysts.boot,cat-boot-i18n-angular,0.0.5
commons-beanutils,commons-beanutils,1.5
commons-collections,commons-collections,2.0.20020914.020746
commons-configuration,commons-configuration,1.0
commons-codec,commons-codec,1.3
au.com.bytecode,opencsv,2.4
aspectwerkz,aspectwerkz-core,0.9
commons-beanutils,commons-beanutils,1.6
dnsjava,dnsjava,2.1.7
commons-collections,commons-collections,2.0.20020914.020858
commons-cli,commons-cli,1.1
commons-codec,commons-codec,1.4
aspectwerkz,aspectwerkz-core,0.9.RC1
commons-digester,commons-digester,1.2
commons-configuration,commons-configuration,1.0-dev-2.20021231.045254
commons-beanutils,commons-beanutils,1.6.1
commons-collections,commons-collections,2.1
cc.catalysts.boot,cat-boot-javamelody,0.0.10
commons-cli,commons-cli,1.2
commons-codec,commons-codec,1.5
aspectwerkz,aspectwerkz-core,0.9.RC2.dev.20040125
commons-configuration,commons-configuration,1.0-dev-3.20030603.101200
commons-digester,commons-digester,1.3
commons-el,commons-el,1.0
commons-dbcp,commons-dbcp,1.0-dev-20020806
cc.catalysts.boot,cat-boot-javamelody,0.0.4
commons-cli,commons-cli,1.3
commons-codec,commons-codec,1.6
aspectwerkz,aspectwerkz-core,1.0
commons-beanutils,commons-beanutils,1.7.0
commons-configuration,commons-configuration,1.0-dev-3.20030607.194155
commons-collections,commons-collections,2.1.1
commons-dbcp,commons-dbcp,1.1
cc.catalysts.boot,cat-boot-javamelody,0.0.5
commons-cli,commons-cli,1.3.1
commons-codec,commons-codec,1.7
aspectwerkz,aspectwerkz-core,1.0-beta1
commons-beanutils,commons-beanutils,1.8.0
commons-collections,commons-collections,20030418.083655
commons-configuration,commons-configuration,1.0-rc1
commons-digester,commons-digester,1.4.1
commons-fileupload,commons-fileupload,1.0-beta-1
commons-cli,commons-cli,20040117.000000
commons-dbcp,commons-dbcp,1.1-RC1
aspectwerkz,aspectwerkz-core,1.0-beta2
commons-beanutils,commons-beanutils,1.8.0-BETA
commons-configuration,commons-configuration,1.0-rc2
commons-collections,commons-collections,20031027.000000
commons-codec,commons-codec,1.8
commons-digester,commons-digester,1.5
cc.catalysts.boot,cat-boot-report-pdf,0.0.10
aspectwerkz,aspectwerkz-core,1.0.RC1
commons-dbcp,commons-dbcp,1.1-RC2
commons-fileupload,commons-fileupload,1.0-rc1
commons-collections,commons-collections,20040102.233541
commons-configuration,commons-configuration,1.1
commons-beanutils,commons-beanutils,1.8.1
commons-httpclient,commons-httpclient,1.0
commons-digester,commons-digester,1.6
commons-codec,commons-codec,1.9
aspectwerkz,aspectwerkz-core,1.0.RC2
commons-dbcp,commons-dbcp,1.2
commons-collections,commons-collections,20040616
commons-io,commons-io,0.1
commons-digester,commons-digester,1.7
commons-configuration,commons-configuration,1.10
aspectwerkz,aspectwerkz-core,1.0.RC3
commons-httpclient,commons-httpclient,2.0
cc.catalysts.boot,cat-boot-thymeleaf,0.0.10
commons-dbcp,commons-dbcp,1.2.1
commons-collections,commons-collections,3.0
commons-io,commons-io,1.0
commons-beanutils,commons-beanutils,1.8.2
aspectwerkz,aspectwerkz-core,1.1
commons-digester,commons-digester,1.8
commons-configuration,commons-configuration,1.2
commons-httpclient,commons-httpclient,2.0-alpha2
commons-io,commons-io,1.1
commons-beanutils,commons-beanutils,1.8.3
commons-collections,commons-collections,3.0-dev2
aspectwerkz,aspectwerkz-core,2.0
commons-dbcp,commons-dbcp,1.2.2
commons-lang,commons-lang,1.0
commons-digester,commons-digester,1.8.1
commons-jxpath,commons-jxpath,1.1
commons-logging,commons-logging,1.0
aspectwerkz,aspectwerkz-core,2.0.RC1
commons-httpclient,commons-httpclient,2.0-alpha2.20020903.070259
commons-io,commons-io,1.2
commons-beanutils,commons-beanutils,1.9.0
commons-lang,commons-lang,1.0-b1
commons-collections,commons-collections,3.1
commons-digester,commons-digester,2.0
commons-dbcp,commons-dbcp,1.3
commons-net,commons-net,1.0.0
commons-jxpath,commons-jxpath,1.2
commons-logging,commons-logging,1.0.1
commons-pool,commons-pool,1.0
commons-httpclient,commons-httpclient,2.0-alpha2.20021115.044352
